,Unnamed: 0,title,date,stock
2348,931400.0,[[0.8788694]],2015-09-17 06:48:00-04:00,NVDA
2347,931399.0,[[0.99893093]],2015-09-17 09:28:00-04:00,NVDA
2346,931398.0,[[0.99998665]],2015-09-17 11:41:00-04:00,NVDA
5654,186444.0,[[0.9789465]],2015-09-21 11:47:00-04:00,BRK
2345,931397.0,[[1.]],2015-09-23 08:11:00-04:00,NVDA
2344,931396.0,[[1.]],2015-09-23 08:56:00-04:00,NVDA
2343,931395.0,[[0.00170456]],2015-09-25 10:25:00-04:00,NVDA
2342,931394.0,[[0.9997521]],2015-09-28 11:08:00-04:00,NVDA
2341,931393.0,[[0.00170456]],2015-09-30 10:15:00-04:00,NVDA
2340,931392.0,[[0.09068697]],2015-10-01 14:02:00-04:00,NVDA
2339,931391.0,[[0.00170456]],2015-10-05 10:19:00-04:00,NVDA
2338,931390.0,[[0.0564823]],2015-10-09 13:27:00-04:00,NVDA
2337,931389.0,[[0.9999995]],2015-10-12 09:07:00-04:00,NVDA
2336,931388.0,[[0.9999729]],2015-10-12 09:09:00-04:00,NVDA
2335,931387.0,[[0.00170456]],2015-10-14 10:09:00-04:00,NVDA
2334,931386.0,[[0.99996567]],2015-10-14 15:35:00-04:00,NVDA
2333,931385.0,[[0.9992635]],2015-10-16 10:25:00-04:00,NVDA
2332,931384.0,[[0.999755]],2015-10-16 14:23:00-04:00,NVDA
2331,931383.0,[[0.9999478]],2015-10-28 15:26:00-04:00,NVDA
2330,931382.0,[[0.9999528]],2015-10-30 05:37:00-04:00,NVDA
2329,931381.0,[[0.9997751]],2015-10-30 07:56:00-04:00,NVDA
2328,931380.0,[[0.99893093]],2015-10-30 09:10:00-04:00,NVDA
2327,931379.0,[[0.82179224]],2015-11-03 07:39:00-05:00,NVDA
2326,931378.0,[[0.66455245]],2015-11-03 09:30:00-05:00,NVDA
2325,931377.0,[[0.94820285]],2015-11-03 11:13:00-05:00,NVDA
2324,931376.0,[[0.01781183]],2015-11-04 10:11:00-05:00,NVDA
2323,931375.0,[[0.98313105]],2015-11-05 04:29:00-05:00,NVDA
2322,931374.0,[[0.99682695]],2015-11-05 04:40:00-05:00,NVDA
2321,931373.0,[[0.99148166]],2015-11-05 11:29:00-05:00,NVDA
2320,931372.0,[[0.01781183]],2015-11-05 12:34:00-05:00,NVDA
